Dataset,Model,F1-Score,Recall,Precision,ROC-AUC
K-cGAN,RandomForest,0.8756756756756757,0.826530612244898,0.9310344827586207,0.9526648975572221
K-cGAN,RandomForest,0.8629441624365483,0.8673469387755102,0.8585858585858586,0.9526648975572221
K-cGAN,TabNet,0.801980198019802,0.826530612244898,0.7788461538461539,0.9799153799111091
K-cGAN,AutoEncoder,0.801980198019802,0.826530612244898,0.7788461538461539,0.9635207311681003
K-cGAN,TabNet,0.7960199004975125,0.8163265306122449,0.7766990291262136,0.9797391628288907
K-cGAN,Transformer,0.7804878048780488,0.8163265306122449,0.7476635514018691,0.9705179131303618
K-cGAN,AutoEncoder,0.4811320754716981,0.5204081632653061,0.4473684210526316,0.9664826855052656
K-cGAN,Transformer,0.0,0.0,0.0,0.9753023325255821
Original,RandomForest,0.8804347826086957,0.826530612244898,0.9418604651162791,0.952793291979144
Original,RandomForest,0.8743169398907104,0.8163265306122449,0.9411764705882353,0.952793291979144
Original,TabNet,0.8020304568527918,0.8061224489795918,0.797979797979798,0.9848327696300805
Original,AutoEncoder,0.801980198019802,0.826530612244898,0.7788461538461539,0.9597273982750105
Original,Transformer,0.7938144329896907,0.7857142857142857,0.8020833333333334,0.9682031348695922
Original,Transformer,0.7918781725888325,0.7959183673469388,0.7878787878787878,0.9716310236812788
Original,TabNet,0.7843137254901961,0.8163265306122449,0.7547169811320755,0.9799945160956898
Original,AutoEncoder,0.44339622641509435,0.47959183673469385,0.41228070175438597,0.9677434810446406
SMOTE,RandomForest,0.8677248677248677,0.8367346938775511,0.9010989010989011,0.9678396647066254
SMOTE,RandomForest,0.8677248677248677,0.8367346938775511,0.9010989010989011,0.9678396647066254
SMOTE,TabNet,0.8415300546448088,0.7857142857142857,0.9058823529411765,0.9693064655518931
SMOTE,Transformer,0.8058252427184466,0.8469387755102041,0.7685185185185185,0.9762226271347031
SMOTE,AutoEncoder,0.801980198019802,0.826530612244898,0.7788461538461539,0.9548548703386813
SMOTE,TabNet,0.7136563876651982,0.826530612244898,0.627906976744186,0.9763334357378292
SMOTE,Transformer,0.6417910447761194,0.8775510204081632,0.5058823529411764,0.9673948152699459
SMOTE,AutoEncoder,0.44339622641509435,0.47959183673469385,0.41228070175438597,0.9674199378682256
cGAN,RandomForest,0.8791208791208791,0.8163265306122449,0.9523809523809523,0.957607679045169
cGAN,RandomForest,0.8512820512820513,0.8469387755102041,0.8556701030927835,0.957607679045169
cGAN,Transformer,0.8041237113402062,0.7959183673469388,0.8125,0.9746765106577239
cGAN,AutoEncoder,0.801980198019802,0.826530612244898,0.7788461538461539,0.9629502687400227
cGAN,TabNet,0.7961165048543689,0.8367346938775511,0.7592592592592593,0.9765625897235652
cGAN,Transformer,0.7960199004975125,0.8163265306122449,0.7766990291262136,0.9712338174577654
cGAN,TabNet,0.7941176470588235,0.826530612244898,0.7641509433962265,0.9797606964845589
cGAN,AutoEncoder,0.46226415094339623,0.5,0.4298245614035088,0.9649125231127902
